id,source_file,question,type,answer,raw,option_A,option_B,option_C,option_D,option_E,option_F,option_G,option_H
14,学生手册答案.docx,14、[1分] 按学校规定，在考场内外大声喧哗、不服从监考人员管理的，或未经监考人员同意，在考试过程中擅自离开考场的，给予（ ）处分。,单选,D,"14、[1分]
按学校规定，在考场内外大声喧哗、不服从监考人员管理的，或未经监考人员同意，在考试过程中擅自离开考场的，给予（ ）处分。
A. 严重警告
B. 留校察看
C. 记过
D. 警告
正确答案：D",A. 严重警告,B. 留校察看,C. 记过,D. 警告 正确答案：D,,,,
15,学生手册答案.docx,15、[1分] 按学校有关实施办法规定，家庭经济困难学生认定工作每学年进行一次，有效期为（ ）。,单选,A,"15、[1分]
按学校有关实施办法规定，家庭经济困难学生认定工作每学年进行一次，有效期为（ ）。
A. 一学年
B. 四学年
C. 两学年
D. 一学期
正确答案：A",A. 一学年,B. 四学年,C. 两学年,D. 一学期 正确答案：A,,,,
16,学生手册答案.docx,16、[1分] 按学校规定，携带易燃、易爆、化学危险性物品进入校园或在校园内存放上述物品这，给予（ ）或（ ）处分；造成事故者，给予（ ）以上处分。,单选,C,"16、[1分]
按学校规定，携带易燃、易爆、化学危险性物品进入校园或在校园内存放上述物品这，给予（ ）或（ ）处分；造成事故者，给予（ ）以上处分。
A. 警告；记过；留校察看
B. 记过；留校察看；开除学籍
C. 严重警告；记过；留校察看
D. 警告；严重警告；记过
正确答案：C",A. 警告；记过；留校察看,B. 记过；留校察看；开除学籍,C. 严重警告；记过；留校察看,D. 警告；严重警告；记过 正确答案：C,,,,
17,学生手册答案.docx,17、[1分] 按学校规定，在闭卷考试中，携带、使用手机或者其他具有存储、发送、接收等功能的电子设备参加考试的，进入考场且在考试开始前未按要求放在指定位置的，给予（ ）处分。,单选,A,"17、[1分]
按学校规定，在闭卷考试中，携带、使用手机或者其他具有存储、发送、接收等功能的电子设备参加考试的，进入考场且在考试开始前未按要求放在指定位置的，给予（ ）处分。
A. 严重警告
B. 留校察看
C. 记过
D. 警告
正确答案：A",A. 严重警告,B. 留校察看,C. 记过,D. 警告 正确答案：A,,,,
18,学生手册答案.docx,18、[1分] 按学校规定，下列说法错误的是（ ）。,单选,B,"18、[1分]
按学校规定，下列说法错误的是（ ）。
A. 学校按照国家有关规定为家庭经济困难学生提供教育救助，完善学生资助体系，保证学生不因家庭经济困难而放弃学业。
B. 学生可以根据校际间协议跨校修读专业或课程，在他校修读的课程成绩（学分）均不予以承认。
C. 学生可以申请选修、免听、补考和免修、重修、降级、提前毕业。
D. 每学期开学时，学生应当按学校有关规定办理注册手续。
正确答案：B",A. 学校按照国家有关规定为家庭经济困难学生提供教育救助，完善学生资助体系，保证学生不因家庭经济困难而放弃学业。,B. 学生可以根据校际间协议跨校修读专业或课程，在他校修读的课程成绩（学分）均不予以承认。,C. 学生可以申请选修、免听、补考和免修、重修、降级、提前毕业。,D. 每学期开学时，学生应当按学校有关规定办理注册手续。 正确答案：B,,,,
19,学生手册答案.docx,19、[1分] 按学校规定，私自更改或者以其他不正当手段获得多门课程考试成绩的，给予（ ）处分。,单选,C,"19、[1分]
按学校规定，私自更改或者以其他不正当手段获得多门课程考试成绩的，给予（ ）处分。
A. 记过
B. 留校察看
C. 开除学籍
D. 严重警告
正确答案：C",A. 记过,B. 留校察看,C. 开除学籍,D. 严重警告 正确答案：C,,,,
20,学生手册答案.docx,20、[1分] 按学校规定，未经批准，任何人不准在学生宿舍区内经商、贩卖、推销、张贴广告、派发传单、悬挂标语横幅等，不听劝阻和拒不清除的，给予（ ）以上处份。,单选,D,"20、[1分]
按学校规定，未经批准，任何人不准在学生宿舍区内经商、贩卖、推销、张贴广告、派发传单、悬挂标语横幅等，不听劝阻和拒不清除的，给予（ ）以上处份。
A. 严重警告
B. 留校察看
C. 记过
D. 警告
正确答案：D",A. 严重警告,B. 留校察看,C. 记过,D. 警告 正确答案：D,,,,
21,学生手册答案.docx,21、[1分] 按学校规定，盗窃公章、机密文件、档案等物品的，给予（ ）以上处分。,单选,B,"21、[1分]
按学校规定，盗窃公章、机密文件、档案等物品的，给予（ ）以上处分。
A. 严重警告
B. 留校察看
C. 记过
D. 警告
正确答案：B",A. 严重警告,B. 留校察看,C. 记过,D. 警告 正确答案：B,,,,
22,学生手册答案.docx,22、[1分] 按学校规定，留校察看期间，再次考试违纪的，给予（ ）处分。,单选,B,"22、[1分]
按学校规定，留校察看期间，再次考试违纪的，给予（ ）处分。
A. 记过
B. 开除学籍
C. 留校察看
D. 严重警告
正确答案：B",A. 记过,B. 开除学籍,C. 留校察看,D. 严重警告 正确答案：B,,,,
23,学生手册答案.docx,23、[1分] 按学校规定，利用计算机信息网络进行赌博、诈骗、教唆犯罪的，给予（ ）以上处分。,单选,C,"23、[1分]
按学校规定，利用计算机信息网络进行赌博、诈骗、教唆犯罪的，给予（ ）以上处分。
A. 严重警告
B. 留校察看
C. 记过
D. 警告
正确答案：C",A. 严重警告,B. 留校察看,C. 记过,D. 警告 正确答案：C,,,,
24,学生手册答案.docx,24、[1分] 按学校规定，被开除学籍的学生，应当在学校处分决定书或者维持原决定的申诉处理决定书送达后（ ）内办理离校手续。,单选,C,"24、[1分]
按学校规定，被开除学籍的学生，应当在学校处分决定书或者维持原决定的申诉处理决定书送达后（ ）内办理离校手续。
A. 7日
B. 1个月
C. 15日
D. 3日
正确答案：C",A. 7日,B. 1个月,C. 15日,D. 3日 正确答案：C,,,,
25,学生手册答案.docx,25、[1分] 广东工业大学在（ ）年被确定为广东高水平大学重点建设高校。,单选,A,"25、[1分]
广东工业大学在（ ）年被确定为广东高水平大学重点建设高校。
A. 2015
B. 2017
C. 2016
D. 2014
正确答案：A",A. 2015,B. 2017,C. 2016,D. 2014 正确答案：A,,,,
26,学生手册答案.docx,26、[1分] 按学校规定，开考信号发出前答题或者考试结束信号发出后继续答题的，给予（ ）处分。,单选,D,"26、[1分]
按学校规定，开考信号发出前答题或者考试结束信号发出后继续答题的，给予（ ）处分。
A. 严重警告
B. 留校察看
C. 记过
D. 警告
正确答案：D",A. 严重警告,B. 留校察看,C. 记过,D. 警告 正确答案：D,,,,
27,学生手册答案.docx,27、[1分] 按学校有关管理规定，勤工助学学生原则上每小时的报酬不低于（ ）元/人。,单选,D,"27、[1分]
按学校有关管理规定，勤工助学学生原则上每小时的报酬不低于（ ）元/人。
A. 12.5
B. 20.3
C. 16.5
D. 18.3
正确答案：D",A. 12.5,B. 20.3,C. 16.5,D. 18.3 正确答案：D,,,,
28,学生手册答案.docx,28、[1分] 按学校规定，违纪学生对纪律处分有异议的，可在接到学校处分文件之日起（ ）日之内，向学校学生申诉处理委员会提出申诉，具体按《广东工业大学学生申诉处理办法》执行。,单选,C,"28、[1分]
按学校规定，违纪学生对纪律处分有异议的，可在接到学校处分文件之日起（ ）日之内，向学校学生申诉处理委员会提出申诉，具体按《广东工业大学学生申诉处理办法》执行。
A. 7
B. 14
C. 10
D. 5
正确答案：C",A. 7,B. 14,C. 10,D. 5 正确答案：C,,,,
29,学生手册答案.docx,29、[1分] 按学校规定，在校园内进行宗教活动，经批评教育无效的，视情节严重给予（ ）以上处分。,单选,D,"29、[1分]
按学校规定，在校园内进行宗教活动，经批评教育无效的，视情节严重给予（ ）以上处分。
A. 严重警告
B. 留校察看
C. 记过
D. 警告
正确答案：D",A. 严重警告,B. 留校察看,C. 记过,D. 警告 正确答案：D,,,,
30,学生手册答案.docx,30、[1分] 按学校规定，在闭卷考试中，携带、使用手机或者其他具有存储、发送、接收等功能的电子设备参加考试的，在考试过程中，使用上述电子设备的（处于开机状态），但未涉及考试内容，给予（ ）处分。,单选,C,"30、[1分]
按学校规定，在闭卷考试中，携带、使用手机或者其他具有存储、发送、接收等功能的电子设备参加考试的，在考试过程中，使用上述电子设备的（处于开机状态），但未涉及考试内容，给予（ ）处分。
A. 严重警告
B. 留校察看
C. 记过
D. 警告
正确答案：C",A. 严重警告,B. 留校察看,C. 记过,D. 警告 正确答案：C,,,,
31,学生手册答案.docx,31、[1分] 按学校规定，在考试过程中二人在答卷上互写对方姓名的，给予（ ）处分。,单选,B,"31、[1分]
按学校规定，在考试过程中二人在答卷上互写对方姓名的，给予（ ）处分。
A. 严重警告
B. 留校察看
C. 记过
D. 警告
正确答案：B",A. 严重警告,B. 留校察看,C. 记过,D. 警告 正确答案：B,,,,
32,学生手册答案.docx,32、[1分] 按学校规定，违反实验操作规程，造成后果者，给予（ ）以上处分。,单选,A,"32、[1分]
按学校规定，违反实验操作规程，造成后果者，给予（ ）以上处分。
A. 严重警告
B. 留校察看
C. 记过
D. 警告
正确答案：A",A. 严重警告,B. 留校察看,C. 记过,D. 警告 正确答案：A,,,,
33,学生手册答案.docx,33、[1分] 按学校规定，私自更改或以其他不正当手段获得某一门课程考试成绩的，给予（ ）处分。,单选,B,"33、[1分]
按学校规定，私自更改或以其他不正当手段获得某一门课程考试成绩的，给予（ ）处分。
A. 严重警告
B. 留校察看
C. 记过
D. 警告
正确答案：B",A. 严重警告,B. 留校察看,C. 记过,D. 警告 正确答案：B,,,,
34,学生手册答案.docx,34、[1分] 按学校规定，在闭卷考试中，携带与考试内容相关材料的，给予（ ）处分。,单选,C,"34、[1分]
按学校规定，在闭卷考试中，携带与考试内容相关材料的，给予（ ）处分。
A. 严重警告
B. 留校察看
C. 记过
D. 警告
正确答案：C",A. 严重警告,B. 留校察看,C. 记过,D. 警告 正确答案：C,,,,
35,学生手册答案.docx,35、[1分] 按学校规定，转租、转借、骗取房间或床位的，给予（ ）以上处分。,单选,A,"35、[1分]
按学校规定，转租、转借、骗取房间或床位的，给予（ ）以上处分。
A. 严重警告
B. 留校察看
C. 记过
D. 警告
正确答案：A",A. 严重警告,B. 留校察看,C. 记过,D. 警告 正确答案：A,,,,
36,学生手册答案.docx,36、[1分] 按学校规定，擅自散发未经登记、审批的宣传品、印刷品，造成不良影响的，经批评教育无效的，给予（ ）处分；具有传播非法内容、人身攻击、造谣惑众等情节的，给予（ ）处分。,单选,D,"36、[1分]
按学校规定，擅自散发未经登记、审批的宣传品、印刷品，造成不良影响的，经批评教育无效的，给予（ ）处分；具有传播非法内容、人身攻击、造谣惑众等情节的，给予（ ）处分。
A. 警告或者严重警告；留校察看或者开除学籍
B. 严重警告或者记过；记过或者留校察看
C. 严重警告或者记过；留校察看或者开除学籍
D. 警告或者严重警告；记过或者留校察看
正确答案：D",A. 警告或者严重警告；留校察看或者开除学籍,B. 严重警告或者记过；记过或者留校察看,C. 严重警告或者记过；留校察看或者开除学籍,D. 警告或者严重警告；记过或者留校察看 正确答案：D,,,,
37,学生手册答案.docx,37、[1分] 按学校有关管理规定，勤工助学学生原则上每周到岗工作时间不超过（ ）小时。,单选,D,"37、[1分]
按学校有关管理规定，勤工助学学生原则上每周到岗工作时间不超过（ ）小时。
A. 10小时
B. 16小时
C. 12小时
D. 8小时
正确答案：D",A. 10小时,B. 16小时,C. 12小时,D. 8小时 正确答案：D,,,,
38,学生手册答案.docx,38、[1分] 按学校规定，抄袭或者协助他人抄袭试题答案或者与考试内容相关资料的，给予（ ）处分。,单选,C,"38、[1分]
按学校规定，抄袭或者协助他人抄袭试题答案或者与考试内容相关资料的，给予（ ）处分。
A. 严重警告
B. 留校察看
C. 记过
D. 警告
正确答案：C",A. 严重警告,B. 留校察看,C. 记过,D. 警告 正确答案：C,,,,
39,学生手册答案.docx,39、[1分] 按学校规定，凡被学院等有关部门、单位通报批评（ ）次仍不悔改者，给予警告处分。,单选,A,"39、[1分]
按学校规定，凡被学院等有关部门、单位通报批评（ ）次仍不悔改者，给予警告处分。
A. 2
B. 4
C. 3
D. 1
正确答案：A",A. 2,B. 4,C. 3,D. 1 正确答案：A,,,,
40,学生手册答案.docx,40、[1分] 按学校规定，以盗窃、骗取、勒索、冒领等手段非法占有国家、本校或者他人财物的，所涉及价值500元以上不足1000元的，给予（ ）处分。,单选,C,"40、[1分]
按学校规定，以盗窃、骗取、勒索、冒领等手段非法占有国家、本校或者他人财物的，所涉及价值500元以上不足1000元的，给予（ ）处分。
A. 严重警告
B. 留校察看
C. 记过
D. 警告
正确答案：C",A. 严重警告,B. 留校察看,C. 记过,D. 警告 正确答案：C,,,,
41,学生手册答案.docx,41、[1分] 按学校规定，违反宿舍管理规定，在宿舍区内养宠物等，影响宿舍环境，经批评教育不改的，给予（ ）以上处分。,单选,D,"41、[1分]
按学校规定，违反宿舍管理规定，在宿舍区内养宠物等，影响宿舍环境，经批评教育不改的，给予（ ）以上处分。
A. 记过
B. 开除学籍
C. 留校察看
D. 警告
正确答案：D",A. 记过,B. 开除学籍,C. 留校察看,D. 警告 正确答案：D,,,,
42,学生手册答案.docx,42、[1分] 按学校规定，学生对学校的处理或者处分决定有异议的，可以在接到学校处理或者处分决定书之日起（ ）内，向学校学生申诉处理委员会提出书面申诉。,单选,A,"42、[1分]
按学校规定，学生对学校的处理或者处分决定有异议的，可以在接到学校处理或者处分决定书之日起（ ）内，向学校学生申诉处理委员会提出书面申诉。
A. 10日
B. 30日
C. 15日
D. 一周
正确答案：A",A. 10日,B. 30日,C. 15日,D. 一周 正确答案：A,,,,
43,学生手册答案.docx,43、[1分] 按学校规定，考试过程中，有交换试卷、答案、草稿纸行为的，给予（ ）处分。,单选,,"43、[1分]
按学校规定，考试过程中，有交换试卷、答案、草稿纸行为的，给予（ ）处分。
A. 严重警告
B. 留校察看
C. 记过
D. 警告
正确答案：C",A. 严重警告,B. 留校察看,C. 记过,D. 警告 正确答案：C,,,,
44,学生手册答案.docx,44、[1分] 按学校规定，盗窃或以其他不正当手段获得多门课程考试试卷的，给予（ ）处分。,单选,C,"44、[1分]
按学校规定，盗窃或以其他不正当手段获得多门课程考试试卷的，给予（ ）处分。
A. 记过
B. 留校察看
C. 开除学籍
D. 严重警告
正确答案：C",A. 记过,B. 留校察看,C. 开除学籍,D. 严重警告 正确答案：C,,,,
45,学生手册答案.docx,45、[1分] 按学校规定，代替他人或由他人代替参加考试的，考试进行过程中，能主动终止其替考行为的，替考者给予（ ）处分、被替考者给予（ ）处分。,单选,C,"45、[1分]
按学校规定，代替他人或由他人代替参加考试的，考试进行过程中，能主动终止其替考行为的，替考者给予（ ）处分、被替考者给予（ ）处分。
A. 严重警告；记过
B. 留校察看；开除学籍
C. 记过；留校察看
D. 警告；严重警告
正确答案：C",A. 严重警告；记过,B. 留校察看；开除学籍,C. 记过；留校察看,D. 警告；严重警告 正确答案：C,,,,
46,学生手册答案.docx,46、[1分] 按学校规定，利用上厕所等机会在考场外查看与考试课程相关的资料、或与他人交谈有关考试内容的，给予（ ）处分。,单选,C,"46、[1分]
按学校规定，利用上厕所等机会在考场外查看与考试课程相关的资料、或与他人交谈有关考试内容的，给予（ ）处分。
A. 严重警告
B. 留校察看
C. 记过
D. 警告
正确答案：C",A. 严重警告,B. 留校察看,C. 记过,D. 警告 正确答案：C,,,,
47,学生手册答案.docx,47、[1分] 按学校规定，将个人身份证、学生证、校园卡及其他证件或证明给他人使用的，造成不良影响的，给予（ ）以上处分。,单选,A,"47、[1分]
按学校规定，将个人身份证、学生证、校园卡及其他证件或证明给他人使用的，造成不良影响的，给予（ ）以上处分。
A. 严重警告
B. 留校察看
C. 记过
D. 警告
正确答案：A",A. 严重警告,B. 留校察看,C. 记过,D. 警告 正确答案：A,,,,
48,学生手册答案.docx,48、[1分] 广东工业大学的校训是（ ）。,单选,D,"48、[1分]
广东工业大学的校训是（ ）。
A. 自强不息，厚德载物
B. 厚德博学，唯实求新
C. 求实、求真、求善、求美
D. 团结、勤奋、求是、创新
正确答案：D",A. 自强不息，厚德载物,B. 厚德博学，唯实求新,C. 求实、求真、求善、求美,D. 团结、勤奋、求是、创新 正确答案：D,,,,
49,学生手册答案.docx,49、[1分] 按学校规定，利用计算机信息网络泄露国家秘密，或泄露学校处于保密阶段的科研项目的有关资料、数据、图（照）片者，给予（ ）以上处分。,单选,C,"49、[1分]
按学校规定，利用计算机信息网络泄露国家秘密，或泄露学校处于保密阶段的科研项目的有关资料、数据、图（照）片者，给予（ ）以上处分。
A. 严重警告
B. 留校察看
C. 记过
D. 警告
正确答案：C",A. 严重警告,B. 留校察看,C. 记过,D. 警告 正确答案：C,,,,
50,学生手册答案.docx,50、[1分] 按学校规定，利用网络、自媒体等平台组织或者为违法违纪行为提供帮助者，视情节轻重，给予（ ）以上处分。,单选,D,"50、[1分]
按学校规定，利用网络、自媒体等平台组织或者为违法违纪行为提供帮助者，视情节轻重，给予（ ）以上处分。
A. 严重警告
B. 留校察看
C. 记过
D. 警告
正确答案：D",A. 严重警告,B. 留校察看,C. 记过,D. 警告 正确答案：D,,,,
51,学生手册答案.docx,51、[1分] 按学校规定，新生应征参加中国人民解放军（含中国人民武装警察部队），按国家有关规定保留入学资格至退役后（ ）年。,单选,A,"51、[1分]
按学校规定，新生应征参加中国人民解放军（含中国人民武装警察部队），按国家有关规定保留入学资格至退役后（ ）年。
A. 2
B. 4
C. 3
D. 1
正确答案：A",A. 2,B. 4,C. 3,D. 1 正确答案：A,,,,
52,学生手册答案.docx,52、[1分] 按学校规定，在试卷规定以外的地方书写姓名、考号或者以其他方式在答卷上标记信息的，给予（ ）处分。,单选,A,"52、[1分]
按学校规定，在试卷规定以外的地方书写姓名、考号或者以其他方式在答卷上标记信息的，给予（ ）处分。
A. 严重警告
B. 留校察看
C. 记过
D. 警告
正确答案：A",A. 严重警告,B. 留校察看,C. 记过,D. 警告 正确答案：A,,,,
53,学生手册答案.docx,53、[1分] 按学校规定，盗用他人证件或证明的，给予（ ）以上处分；给他人造成经济损失的，应依法予以赔偿。,单选,A,"53、[1分]
按学校规定，盗用他人证件或证明的，给予（ ）以上处分；给他人造成经济损失的，应依法予以赔偿。
A. 严重警告
B. 留校察看
C. 记过
D. 警告
正确答案：A",A. 严重警告,B. 留校察看,C. 记过,D. 警告 正确答案：A,,,,
54,学生手册答案.docx,54、[1分] 按学校规定，破解、仿冒或者伪造校园卡以及其他校内有价支付凭证的，视情节严重给予（ ）以上处分。,单选,C,"54、[1分]
按学校规定，破解、仿冒或者伪造校园卡以及其他校内有价支付凭证的，视情节严重给予（ ）以上处分。
A. 严重警告
B. 留校察看
C. 记过
D. 警告
正确答案：C",A. 严重警告,B. 留校察看,C. 记过,D. 警告 正确答案：C,,,,
55,学生手册答案.docx,55、[1分] 按学校规定，使用计算机程序等技术手段恶意选课，或者有其他扰乱教育教学管理秩序的行为，造成不良影响的，经批评教育无效的，给予（ ）处分。,单选,D,"55、[1分]
按学校规定，使用计算机程序等技术手段恶意选课，或者有其他扰乱教育教学管理秩序的行为，造成不良影响的，经批评教育无效的，给予（ ）处分。
A. 严重警告
B. 留校察看
C. 记过
D. 警告
正确答案：D",A. 严重警告,B. 留校察看,C. 记过,D. 警告 正确答案：D,,,,
56,学生手册答案.docx,56、[1分] 按学校规定，一学期内无故旷课累计（ ）学时以上，含（ ），给予开除学籍处分。,单选,B,"56、[1分]
按学校规定，一学期内无故旷课累计（ ）学时以上，含（ ），给予开除学籍处分。
A. 40
B. 60
C. 50
D. 30
正确答案：B",A. 40,B. 60,C. 50,D. 30 正确答案：B,,,,
57,学生手册答案.docx,57、[1分] 按学校规定，代替他人或由他人代替参加考试的，双方共同合谋，且伪造、变造身份证、准考证及其他证明材料实施替考，事后又不主动承认的，替考者和被替考者都给予（ ）处分。,单选,D,"57、[1分]
按学校规定，代替他人或由他人代替参加考试的，双方共同合谋，且伪造、变造身份证、准考证及其他证明材料实施替考，事后又不主动承认的，替考者和被替考者都给予（ ）处分。
A. 记过
B. 警告
C. 留校察看
D. 开除学籍
正确答案：D",A. 记过,B. 警告,C. 留校察看,D. 开除学籍 正确答案：D,,,,
58,学生手册答案.docx,58、[1分] 按学校规定，学生故意损坏公、私财物2000元以上的，给予（ ）以上处分。,单选,B,"58、[1分]
按学校规定，学生故意损坏公、私财物2000元以上的，给予（ ）以上处分。
A. 严重警告
B. 留校察看
C. 记过
D. 警告
正确答案：B",A. 严重警告,B. 留校察看,C. 记过,D. 警告 正确答案：B,,,,
59,学生手册答案.docx,59、[1分] 按学校规定，有酗酒行为，影响他人休息或造成其他不良影响者，给予（ ）以上处分。,单选,A,"59、[1分]
按学校规定，有酗酒行为，影响他人休息或造成其他不良影响者，给予（ ）以上处分。
A. 记过
B. 开除学籍
C. 留校察看
D. 严重警告
正确答案：A",A. 记过,B. 开除学籍,C. 留校察看,D. 严重警告 正确答案：A,,,,
60,学生手册答案.docx,60、[1分] 按学校规定，以纠缠、侮辱、要挟或者胁迫、贿赂等方式干预评卷老师成绩评定的，给予（ ）处分。,单选,B,"60、[1分]
按学校规定，以纠缠、侮辱、要挟或者胁迫、贿赂等方式干预评卷老师成绩评定的，给予（ ）处分。
A. 严重警告
B. 留校察看
C. 记过
D. 警告
正确答案：B",A. 严重警告,B. 留校察看,C. 记过,D. 警告 正确答案：B,,,,
61,学生手册答案.docx,61、[1分] 按学校规定，在毕业生就业、体格检查等活动过程中，违反诚信原则，造成不良后果的，给予（ ）以上处分。,单选,A,"61、[1分]
按学校规定，在毕业生就业、体格检查等活动过程中，违反诚信原则，造成不良后果的，给予（ ）以上处分。
A. 严重警告
B. 留校察看
C. 记过
D. 警告
正确答案：A",A. 严重警告,B. 留校察看,C. 记过,D. 警告 正确答案：A,,,,
